,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,user
12,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,audio_features,0NTMtAO2BV4tnGvw9EgBVq,spotify:track:0NTMtAO2BV4tnGvw9EgBVq,https://api.spotify.com/v1/tracks/0NTMtAO2BV4tnGvw9EgBVq,https://api.spotify.com/v1/audio-analysis/0NTMtAO2BV4tnGvw9EgBVq,219306,4,jojogrin
13,0.516,0.637,6,-8.832,1,0.0632,0.0433,3.89e-06,0.11,0.324,138.011,audio_features,0pxNyJJiL2zZZ5GgJ4JhsQ,spotify:track:0pxNyJJiL2zZZ5GgJ4JhsQ,https://api.spotify.com/v1/tracks/0pxNyJJiL2zZZ5GgJ4JhsQ,https://api.spotify.com/v1/audio-analysis/0pxNyJJiL2zZZ5GgJ4JhsQ,260440,4,jojogrin
14,0.889,0.393,4,-10.821,0,0.267,0.331,8.67e-06,0.283,0.304,128.065,audio_features,16qYlQ6koFxYVbiJbGHblz,spotify:track:16qYlQ6koFxYVbiJbGHblz,https://api.spotify.com/v1/tracks/16qYlQ6koFxYVbiJbGHblz,https://api.spotify.com/v1/audio-analysis/16qYlQ6koFxYVbiJbGHblz,301133,4,jojogrin
15,0.589,0.518,4,-10.199,0,0.0799,0.227,0.195,0.0669,0.611,115.987,audio_features,4VYdJeLKwiVvl4o6Ki3hMI,spotify:track:4VYdJeLKwiVvl4o6Ki3hMI,https://api.spotify.com/v1/tracks/4VYdJeLKwiVvl4o6Ki3hMI,https://api.spotify.com/v1/audio-analysis/4VYdJeLKwiVvl4o6Ki3hMI,260325,4,jojogrin
16,0.599,0.348,5,-10.271,1,0.03,0.692,0.0,0.107,0.448,91.542,audio_features,7AyAGlptGRV82Wk89u4ojN,spotify:track:7AyAGlptGRV82Wk89u4ojN,https://api.spotify.com/v1/tracks/7AyAGlptGRV82Wk89u4ojN,https://api.spotify.com/v1/audio-analysis/7AyAGlptGRV82Wk89u4ojN,153960,3,jojogrin
17,0.864,0.644,7,-6.543,1,0.116,0.255,0.000285,0.0835,0.383,128.079,audio_features,0cWiC1NpNRuNRhKMkUPbIp,spotify:track:0cWiC1NpNRuNRhKMkUPbIp,https://api.spotify.com/v1/tracks/0cWiC1NpNRuNRhKMkUPbIp,https://api.spotify.com/v1/audio-analysis/0cWiC1NpNRuNRhKMkUPbIp,218540,4,jojogrin
18,0.651,0.833,1,-3.356,1,0.172,0.0214,0.0,0.14,0.443,155.051,audio_features,0u695M7KyzXaPIjpEbxOkB,spotify:track:0u695M7KyzXaPIjpEbxOkB,https://api.spotify.com/v1/tracks/0u695M7KyzXaPIjpEbxOkB,https://api.spotify.com/v1/audio-analysis/0u695M7KyzXaPIjpEbxOkB,304512,4,jojogrin
19,0.543,0.915,0,-4.746,0,0.113,0.0162,0.0,0.744,0.577,153.998,audio_features,2gZUPNdnz5Y45eiGxpHGSc,spotify:track:2gZUPNdnz5Y45eiGxpHGSc,https://api.spotify.com/v1/tracks/2gZUPNdnz5Y45eiGxpHGSc,https://api.spotify.com/v1/audio-analysis/2gZUPNdnz5Y45eiGxpHGSc,292093,4,jojogrin
0,0.395,0.803,10,-4.196,0,0.0837,0.00185,1.61e-05,0.148,0.589,180.124,audio_features,3h00HzSTS3guFKT5KXJ7b4,spotify:track:3h00HzSTS3guFKT5KXJ7b4,https://api.spotify.com/v1/tracks/3h00HzSTS3guFKT5KXJ7b4,https://api.spotify.com/v1/audio-analysis/3h00HzSTS3guFKT5KXJ7b4,231947,4,westinthebest
1,0.464,0.82,0,-4.757,1,0.0477,0.00136,2.1e-05,0.293,0.541,87.006,audio_features,2grWkf0NL8iIC7b9UqsjNt,spotify:track:2grWkf0NL8iIC7b9UqsjNt,https://api.spotify.com/v1/tracks/2grWkf0NL8iIC7b9UqsjNt,https://api.spotify.com/v1/audio-analysis/2grWkf0NL8iIC7b9UqsjNt,201587,4,westinthebest
